,customer message,admin reply
19941,ได้ละครับ เดี๋ยวลองใช้ดูก่อน ถ้ามีปัญหาจะแจ้งอีกทีครับ,รบกวนขอคนติดต่อ หรือขอวิธีฝากเงินเข้าบัญชี Equity ลงท้ายเลข 8 หน่อยครับ
19942,ได้ละครับ เดี๋ยวลองใช้ดูก่อน ถ้ามีปัญหาจะแจ้งอีกทีครับ,รบกวนขอคนติดต่อ หรือขอวิธีฝากเงินเข้าบัญชี Equity ลงท้ายเลข 8 หน่อยครับ
19943,ได้ละครับ เดี๋ยวลองใช้ดูก่อน ถ้ามีปัญหาจะแจ้งอีกทีครับ,รบกวนขอคนติดต่อ หรือขอวิธีฝากเงินเข้าบัญชี Equity ลงท้ายเลข 8 หน่อยครับ
19944,ได้ละครับ เดี๋ยวลองใช้ดูก่อน ถ้ามีปัญหาจะแจ้งอีกทีครับ,รบกวนขอคนติดต่อ หรือขอวิธีฝากเงินเข้าบัญชี Equity ลงท้ายเลข 8 หน่อยครับ
19946,รบกวนขอคนติดต่อ หรือขอวิธีฝากเงินเข้าบัญชี Equity ลงท้ายเลข 8 หน่อยครับ,ขอบคุณครับ
19955,ค่ะ,ทำเรียบร้อย 
19956,ค่ะ,ทำเรียบร้อย 
19958,ทำเรียบร้อย ,ได้รับเมล email จากpi ตอบมาเมื่อวาน 8/5/67เวลา12.00น ว่าทำเรียบร้อยแล้วนะ 
19960,ได้รับเมล email จากpi ตอบมาเมื่อวาน 8/5/67เวลา12.00น ว่าทำเรียบร้อยแล้วนะ ,อยู่ในกลุ่ม ใช้ชื่อในกลุ่ม AA
19961,ได้รับเมล email จากpi ตอบมาเมื่อวาน 8/5/67เวลา12.00น ว่าทำเรียบร้อยแล้วนะ ,อยู่ในกลุ่ม ใช้ชื่อในกลุ่ม AA
19962,ได้รับเมล email จากpi ตอบมาเมื่อวาน 8/5/67เวลา12.00น ว่าทำเรียบร้อยแล้วนะ ,อยู่ในกลุ่ม ใช้ชื่อในกลุ่ม AA
19964,อยู่ในกลุ่ม ใช้ชื่อในกลุ่ม AA,"You sent a photo.
 รบกวนสอบถาม ว่าบชmt4  ค่าคอมตามนี้หรือ"
19966,"You sent a photo.
 รบกวนสอบถาม ว่าบชmt4  ค่าคอมตามนี้หรือ",แล้วเริ่มตั้งแต่เมื่อไหร่
19967,"You sent a photo.
 รบกวนสอบถาม ว่าบชmt4  ค่าคอมตามนี้หรือ",แล้วเริ่มตั้งแต่เมื่อไหร่
19969,แล้วเริ่มตั้งแต่เมื่อไหร่,You sent a sticker.
19970,แล้วเริ่มตั้งแต่เมื่อไหร่,You sent a sticker.
19972,You sent a sticker.,ยังไม่สะดวกค่ะ
19974,ยังไม่สะดวกค่ะ,You sent a sticker.
19975,ยังไม่สะดวกค่ะ,You sent a sticker.
19976,ยังไม่สะดวกค่ะ,You sent a sticker.
19978,You sent a sticker.,รบกวนสอบถาม  เอกสารใส่เลขที่บัญชี  ของทั้ง ระบบ streaming และ ระบบ mt4  ในแผ่นเดียวกันได้ใช่มั๊ย   แต่ ระบบ mt4 ยังมีสถานะ ค้างอยู่นะค่ะ 
19980,รบกวนสอบถาม  เอกสารใส่เลขที่บัญชี  ของทั้ง ระบบ streaming และ ระบบ mt4  ในแผ่นเดียวกันได้ใช่มั๊ย   แต่ ระบบ mt4 ยังมีสถานะ ค้างอยู่นะค่ะ ,"You sent a file.
ส่งเอกสาร ให้ค่ะ"
19982,"You sent a file.
ส่งเอกสาร ให้ค่ะ",You sent a sticker.
19984,You sent a sticker.,You sent a sticker.
19986,You sent a sticker.,ค่ะ
19989,จะแจ้งว่า  วันนี้  mt4 พอร์ตว่างแล้วนะค่ะ ,เรียบร้อยละ แจ้งทางนี้ด้วยค่ะ  ขอบคุณ
19991,เรียบร้อยละ แจ้งทางนี้ด้วยค่ะ  ขอบคุณ,You sent a sticker.
19992,เรียบร้อยละ แจ้งทางนี้ด้วยค่ะ  ขอบคุณ,You sent a sticker.
19998,สอบถามค่ะ,บ/ช ที่เปิดไปนั้น เปิดแบบ long  short พร้อมกันได้ด้วย  ใช่ไหมค่ะ
20000,บ/ช ที่เปิดไปนั้น เปิดแบบ long  short พร้อมกันได้ด้วย  ใช่ไหมค่ะ,"0184124
ของพี่ลัดดาวัลย์ และปิยะดา ที่เปิดไปพร้อมๆกัน"
20002,"0184124
ของพี่ลัดดาวัลย์ และปิยะดา ที่เปิดไปพร้อมๆกัน",You sent a sticker.
20005,เอาเงินเข้าบัญชีต้องเป็น 0841240 ใช่ไหมค่ะ,ขอบคุณมากค่ะ
20008,วิธีฝากเงิน,You sent a sticker.
20009,วิธีฝากเงิน,You sent a sticker.
20010,วิธีฝากเงิน,You sent a sticker.
20011,วิธีฝากเงิน,You sent a sticker.
20012,วิธีฝากเงิน,You sent a sticker.
20013,วิธีฝากเงิน,You sent a sticker.
20015,You sent a sticker.,"You sent a file.
ลอ
ลองดูนะคะว่าใช้ได้ไหม"
20016,You sent a sticker.,"You sent a file.
ลอ
ลองดูนะคะว่าใช้ได้ไหม"
20017,You sent a sticker.,"You sent a file.
ลอ
ลองดูนะคะว่าใช้ได้ไหม"
20018,You sent a sticker.,"You sent a file.
ลอ
ลองดูนะคะว่าใช้ได้ไหม"
20020,"You sent a file.
ลอ
ลองดูนะคะว่าใช้ได้ไหม",ขอบคุณมากค่ะ
20022,ขอบคุณมากค่ะ,You sent a sticker.
20028,"ถ้าติด​ call.ไปถึงวันพุธ​17/4/67
 ต้องเติมยอด​  MR​ใช่ไหมครับ

MR.ที่เติม​ คือ​วันพุธ​ คือ​ ยอด​ MR.ปกติ​ ไม่ใช่​supermargin.ฒเข้าใจถูกไหมครับ",ขอบคุณครับ
20029,"ถ้าติด​ call.ไปถึงวันพุธ​17/4/67
 ต้องเติมยอด​  MR​ใช่ไหมครับ

MR.ที่เติม​ คือ​วันพุธ​ คือ​ ยอด​ MR.ปกติ​ ไม่ใช่​supermargin.ฒเข้าใจถูกไหมครับ",ขอบคุณครับ
20031,ขอบคุณครับ,ขอบคุณครับ
20032,ขอบคุณครับ,ขอบคุณครับ
20034,ขอบคุณครับ,สวัสดีครับ ต้องเติมไหมครับ
20036,สวัสดีครับ ต้องเติมไหมครับ,ขอบคุณครับ
20038,ขอบคุณครับ,ได้ครับ ขอบคุณที่แจ้งนะครับ
20040,ได้ครับ ขอบคุณที่แจ้งนะครับ,สวัสดีครับ ต้องเติมไหมครับ
20042,สวัสดีครับ ต้องเติมไหมครับ,สวัสดีครับ ต้องเติมไหมครับ
20043,สวัสดีครับ ต้องเติมไหมครับ,สวัสดีครับ ต้องเติมไหมครับ
20045,สวัสดีครับ ต้องเติมไหมครับ,You sent a sticker.
20046,สวัสดีครับ ต้องเติมไหมครับ,You sent a sticker.
20048,You sent a sticker.,"You sent a photo.
แจ้งเติมเงินเข้าพอร์ทครับ "
20049,You sent a sticker.,"You sent a photo.
แจ้งเติมเงินเข้าพอร์ทครับ "
20050,You sent a sticker.,"You sent a photo.
แจ้งเติมเงินเข้าพอร์ทครับ "
20052,"You sent a photo.
แจ้งเติมเงินเข้าพอร์ทครับ ",เงินเข้าหรือยังครับ
20054,เงินเข้าหรือยังครับ,You sent a sticker.
20056,You sent a sticker.,"ได้ครับ
You sent a sticker."
20059,"You sent a photo.
เติมเงินแล้วครับ","You sent a photo.
แจ้งเติมเงินครับ"
20060,"You sent a photo.
เติมเงินแล้วครับ","You sent a photo.
แจ้งเติมเงินครับ"
20062,"You sent a photo.
แจ้งเติมเงินครับ",ได้ครับ
20063,"You sent a photo.
แจ้งเติมเงินครับ",ได้ครับ
20065,ได้ครับ,"You sent a photo.
เติมเงินครับ"
20067,"You sent a photo.
เติมเงินครับ",ยังไงรบกวนแจ้งอีกครั้งนะครับ
20068,"You sent a photo.
เติมเงินครับ",ยังไงรบกวนแจ้งอีกครั้งนะครับ
20070,ยังไงรบกวนแจ้งอีกครั้งนะครับ,ครับ ขอบคุณมากครับ
20071,ยังไงรบกวนแจ้งอีกครั้งนะครับ,ครับ ขอบคุณมากครับ
20073,ครับ ขอบคุณมากครับ,ได้ครับ
20076,"You sent a photo.
แจ้งเติมเงินครับ","You sent a photo.
เติมเงินครับ"
20078,"You sent a photo.
เติมเงินครับ","You sent a photo.
เติมเงินครับ"
20080,"You sent a photo.
เติมเงินครับ",ครับ รบกวนด้วยครับ
20081,"You sent a photo.
เติมเงินครับ",ครับ รบกวนด้วยครับ
20082,"You sent a photo.
เติมเงินครับ",ครับ รบกวนด้วยครับ
20084,ครับ รบกวนด้วยครับ,You sent a sticker.
20085,ครับ รบกวนด้วยครับ,You sent a sticker.
20088,"You sent a photo.
เติมเงินครับ","You sent a photo.
เติมเงินครับ"
20090,"You sent a photo.
เติมเงินครับ","เงินยังไม่เข้าครับ
ขอโทษครับเข้าแล้วครับ"
20092,"เงินยังไม่เข้าครับ
ขอโทษครับเข้าแล้วครับ","น่าจะตก call ครับ 
รบกวนแจ้งยอดที่ต้องเติมทีนะครับ"
20093,"เงินยังไม่เข้าครับ
ขอโทษครับเข้าแล้วครับ","น่าจะตก call ครับ 
รบกวนแจ้งยอดที่ต้องเติมทีนะครับ"
20095,"น่าจะตก call ครับ 
รบกวนแจ้งยอดที่ต้องเติมทีนะครับ","มียอด 12000 เข้าไหมครับ
พอดีโอน ใน streaming ไป"
20097,"มียอด 12000 เข้าไหมครับ
พอดีโอน ใน streaming ไป",ครับ
20100,"สรุปแล้วติด call ไหมครับ 
+ ต้องทำอย่างไรครับ",ขอบคุณครับ
20102,ขอบคุณครับ,"รบกวนแจ้งยอดหน่อยครับ ว่าต้องเติมไหม
พอดีไม่ได้ดูพอร์ทเลยครับ"
20104,"รบกวนแจ้งยอดหน่อยครับ ว่าต้องเติมไหม
พอดีไม่ได้ดูพอร์ทเลยครับ",ขอบคุณครับ
20105,"รบกวนแจ้งยอดหน่อยครับ ว่าต้องเติมไหม
พอดีไม่ได้ดูพอร์ทเลยครับ",ขอบคุณครับ
20107,ขอบคุณครับ,"You sent a photo.
เติมเงินครับ"
20109,"You sent a photo.
เติมเงินครับ",ได้ครับ
20110,"You sent a photo.
เติมเงินครับ",ได้ครับ
20113,"You sent a photo.
แจ้งเติมเงินครับ","You sent a photo.
เติมเงินครับ"
20114,"You sent a photo.
แจ้งเติมเงินครับ","You sent a photo.
เติมเงินครับ"
20116,"You sent a photo.
เติมเงินครับ","You sent a photo.
แจ้งเติมเงินครับ"
20118,"You sent a photo.
แจ้งเติมเงินครับ",รบกวนถามถ้า ตก  call  เปิดมาวันพุธ ต้องแก้อย่างไรครับ
20119,"You sent a photo.
แจ้งเติมเงินครับ",รบกวนถามถ้า ตก  call  เปิดมาวันพุธ ต้องแก้อย่างไรครับ
20121,รบกวนถามถ้า ตก  call  เปิดมาวันพุธ ต้องแก้อย่างไรครับ,"ถ้าตก call วันนี้ 

วันพุธเติมเงิน และ ปิด position 
จน excess equity  ของวันพุธ เป็นบวก 

ถูกต้องไหมครับ
พอดีวันนี้มี supermargin แล้ววันพุธ margin จะปรับมาปกติ เลยสงสัยครับ"
20123,"ถ้าตก call วันนี้ 

วันพุธเติมเงิน และ ปิด position 
จน excess equity  ของวันพุธ เป็นบวก 

ถูกต้องไหมครับ
พอดีวันนี้มี supermargin แล้ววันพุธ margin จะปรับมาปกติ เลยสงสัยครับ",เข้าใจแล้วครับขอบคุณมากครับ
20125,เข้าใจแล้วครับขอบคุณมากครับ,ครับ ผมรอวันที่ 5 ตอนเช้าค่อยแก้call ครับ
20126,เข้าใจแล้วครับขอบคุณมากครับ,ครับ ผมรอวันที่ 5 ตอนเช้าค่อยแก้call ครับ
20128,ครับ ผมรอวันที่ 5 ตอนเช้าค่อยแก้call ครับ,"You sent a photo.
แจ้งเติมเงินครับ"
20130,"You sent a photo.
แจ้งเติมเงินครับ",เงินยังไม่เข้าครับ
20132,เงินยังไม่เข้าครับ,ขอบคุณครับ
20133,เงินยังไม่เข้าครับ,ขอบคุณครับ
20135,ขอบคุณครับ,You sent a sticker.
20138,"You sent a photo.
You sent a photo.
แจ้งหลักฐานแก้ call ครับ",รับทราบครับเดี๋ยวรอดูวันพุธครับ
20139,"You sent a photo.
You sent a photo.
แจ้งหลักฐานแก้ call ครับ",รับทราบครับเดี๋ยวรอดูวันพุธครับ
20140,"You sent a photo.
You sent a photo.
แจ้งหลักฐานแก้ call ครับ",รับทราบครับเดี๋ยวรอดูวันพุธครับ
20142,รับทราบครับเดี๋ยวรอดูวันพุธครับ,"You sent a photo.
You sent a photo.
แจ้งแก้callครับ"
20143,รับทราบครับเดี๋ยวรอดูวันพุธครับ,"You sent a photo.
You sent a photo.
แจ้งแก้callครับ"
20145,"You sent a photo.
You sent a photo.
แจ้งแก้callครับ",You sent a sticker.
20146,"You sent a photo.
You sent a photo.
แจ้งแก้callครับ",You sent a sticker.
20148,You sent a sticker.,"You sent a photo.
แจ้งเติมเงินครับ"
20150,"You sent a photo.
แจ้งเติมเงินครับ","You sent a photo.
แจ้งเติมเงินครับ"
20152,"You sent a photo.
แจ้งเติมเงินครับ",วิธี QR ถ้าเสร็จแล้วเข้า auto ไหมครับ
20154,วิธี QR ถ้าเสร็จแล้วเข้า auto ไหมครับ,ขอบคุณครับ
20156,ขอบคุณครับ,ครับ ขอบคุณครับ
20157,ขอบคุณครับ,ครับ ขอบคุณครับ
20160,"You sent a photo.
แจ้งเติมเงินครับ",ทำเรียบร้อยแล้วนะครับ
20161,"You sent a photo.
แจ้งเติมเงินครับ",ทำเรียบร้อยแล้วนะครับ
20162,"You sent a photo.
แจ้งเติมเงินครับ",ทำเรียบร้อยแล้วนะครับ
20163,"You sent a photo.
แจ้งเติมเงินครับ",ทำเรียบร้อยแล้วนะครับ
20165,ทำเรียบร้อยแล้วนะครับ,สวัสดีครับติดคอลไหมครับ
20167,สวัสดีครับติดคอลไหมครับ,ครับผม
20169,ครับผม,"เติมเงินแล้วครับ

เติม 80000 บาท ก็ได้ใช่ไหมครับ 

ไม่ต้องเติมจนหลุดคอล ณ เวลาปัจจุบัน"
20170,ครับผม,"เติมเงินแล้วครับ

เติม 80000 บาท ก็ได้ใช่ไหมครับ 

ไม่ต้องเติมจนหลุดคอล ณ เวลาปัจจุบัน"
20172,"เติมเงินแล้วครับ

เติม 80000 บาท ก็ได้ใช่ไหมครับ 

ไม่ต้องเติมจนหลุดคอล ณ เวลาปัจจุบัน",ครับ ขอบคุณมากครับที่แจ้งเตือน
20177,ตามที่โทรมาแจ้ง มีปิดไป 1 สถานะแล้วค่ะ,"You sent a sticker.
ไม่ทราบว่าทางโบรกมีโปรแกรม Efin Stock Pick Up ให้ใช้ไหมคะ"
20178,ตามที่โทรมาแจ้ง มีปิดไป 1 สถานะแล้วค่ะ,"You sent a sticker.
ไม่ทราบว่าทางโบรกมีโปรแกรม Efin Stock Pick Up ให้ใช้ไหมคะ"
20179,ตามที่โทรมาแจ้ง มีปิดไป 1 สถานะแล้วค่ะ,"You sent a sticker.
ไม่ทราบว่าทางโบรกมีโปรแกรม Efin Stock Pick Up ให้ใช้ไหมคะ"
20180,ตามที่โทรมาแจ้ง มีปิดไป 1 สถานะแล้วค่ะ,"You sent a sticker.
ไม่ทราบว่าทางโบรกมีโปรแกรม Efin Stock Pick Up ให้ใช้ไหมคะ"
20182,"You sent a sticker.
ไม่ทราบว่าทางโบรกมีโปรแกรม Efin Stock Pick Up ให้ใช้ไหมคะ",You sent a sticker.
20184,You sent a sticker.,ค่ะ
20186,ค่ะ,เคค่ะ
20188,เคค่ะ,"You sent a sticker.
ขอสอบถามค่ะ จะสลับหน้าเทรดในซีรี่ส์เดียวกันทำได้ไหมคะ"
20190,"You sent a sticker.
ขอสอบถามค่ะ จะสลับหน้าเทรดในซีรี่ส์เดียวกันทำได้ไหมคะ",ปิดสถานะด้านนึงไปเปิดอีกด้านนึง
20192,ปิดสถานะด้านนึงไปเปิดอีกด้านนึง,"ทำได้หรอค่ะ ทำไมทำแล้วไม่เคยได้
ต้องเปิดคนละซีรีส์
ต้องเข้าไปตั้งค่าตรงไหนหรือเปล้าคะ ถึงจะทำได้"
20194,"ทำได้หรอค่ะ ทำไมทำแล้วไม่เคยได้
ต้องเปิดคนละซีรีส์
ต้องเข้าไปตั้งค่าตรงไหนหรือเปล้าคะ ถึงจะทำได้","ใช่ค่ะ ปิดแล้ว
แต่พอจะเปิดอีกด้านนึง เปิดไม่ได้ค่ะ"
20196,"ใช่ค่ะ ปิดแล้ว
แต่พอจะเปิดอีกด้านนึง เปิดไม่ได้ค่ะ",ค้ะ
20198,ค้ะ,You sent a sticker.
20200,You sent a sticker.,You sent a sticker.
20202,You sent a sticker.,ค่ะ
20203,You sent a sticker.,ค่ะ
20204,You sent a sticker.,ค่ะ
20205,You sent a sticker.,ค่ะ
20206,You sent a sticker.,ค่ะ
20207,You sent a sticker.,ค่ะ
20209,ค่ะ,You sent a sticker.
20210,ค่ะ,You sent a sticker.
20212,You sent a sticker.,You sent a sticker.
20214,You sent a sticker.,ค่ะ
20216,ค่ะ,ค่ะ
20217,ค่ะ,ค่ะ
20218,ค่ะ,ค่ะ
20220,ค่ะ,ค่ะ
20222,ค่ะ,ค่ะ
20224,ค่ะ,ค่ะ
20226,ค่ะ,ค่ะ
20228,ค่ะ,"You sent a sticker.
เราสามารถดูขนาดของสัญญาฟิวเจอร์สของหุ้นแต่ละตัวใน APP ได้ตรงไหนคะ ว่ามี 100 หรือ 1000 หุ้นต่อสัญญา"
20230,"You sent a sticker.
เราสามารถดูขนาดของสัญญาฟิวเจอร์สของหุ้นแต่ละตัวใน APP ได้ตรงไหนคะ ว่ามี 100 หรือ 1000 หุ้นต่อสัญญา","ใน app มือถือไม่มี contract spec ค่ะ
You sent a photo.
ต้องกดตรงไหนคะ"
20231,"You sent a sticker.
เราสามารถดูขนาดของสัญญาฟิวเจอร์สของหุ้นแต่ละตัวใน APP ได้ตรงไหนคะ ว่ามี 100 หรือ 1000 หุ้นต่อสัญญา","ใน app มือถือไม่มี contract spec ค่ะ
You sent a photo.
ต้องกดตรงไหนคะ"
20233,"ใน app มือถือไม่มี contract spec ค่ะ
You sent a photo.
ต้องกดตรงไหนคะ",You sent a sticker.
20234,"ใน app มือถือไม่มี contract spec ค่ะ
You sent a photo.
ต้องกดตรงไหนคะ",You sent a sticker.
20235,"ใน app มือถือไม่มี contract spec ค่ะ
You sent a photo.
ต้องกดตรงไหนคะ",You sent a sticker.
20237,You sent a sticker.,อยากทราบว่าเวลาเล่น ฟิวเจอร์ แล้วถือสัญญาข้ามคืน คิดค่าถือข้ามคืนไหมคะ
20239,อยากทราบว่าเวลาเล่น ฟิวเจอร์ แล้วถือสัญญาข้ามคืน คิดค่าถือข้ามคืนไหมคะ,"You sent a sticker.
ค่าธรรมเนียมของ single stock future เท่าไรบ้างคะ"
20240,อยากทราบว่าเวลาเล่น ฟิวเจอร์ แล้วถือสัญญาข้ามคืน คิดค่าถือข้ามคืนไหมคะ,"You sent a sticker.
ค่าธรรมเนียมของ single stock future เท่าไรบ้างคะ"
20242,"You sent a sticker.
ค่าธรรมเนียมของ single stock future เท่าไรบ้างคะ",ถ้าเล่น Deltaz2025 คิดค่าคอม ยังไงคะ
20244,ถ้าเล่น Deltaz2025 คิดค่าคอม ยังไงคะ,"สมมุติ ราคา 170  ตกสัญญาละเท่าไรคะ
แล้วกี่สัญญา ราคาถึงลดลงคะ"
20246,"สมมุติ ราคา 170  ตกสัญญาละเท่าไรคะ
แล้วกี่สัญญา ราคาถึงลดลงคะ",You sent a sticker.
20248,You sent a sticker.,"You sent a sticker.
ตั้ง stop loss ไว้ ทำไมถึงไม่แมทค่ะ
You sent a photo.
You sent a photo.
รบกวนเช็กให้ด้วยนะค่ะ"
20249,You sent a sticker.,"You sent a sticker.
ตั้ง stop loss ไว้ ทำไมถึงไม่แมทค่ะ
You sent a photo.
You sent a photo.
รบกวนเช็กให้ด้วยนะค่ะ"
20269,รบกวนเช็คให้หน่อยค่ะ ว่าได้เปิดพอร์ตหุ้นไว้หรือเปล่า,"เช็คค่าคอมให้หน่อยค่ะ
สามารถโอนเงินเข้า เทรดได้เลยใช่มั้ยคะ"
20271,"เช็คค่าคอมให้หน่อยค่ะ
สามารถโอนเงินเข้า เทรดได้เลยใช่มั้ยคะ",ขอบคุณค่ะ
20274,"สอบถามค่ะ โอนเงินเข้าบัญชีพอร์ตหุ้น อันไหนคะ ?
You sent a photo.
You sent a photo.",Cash balance ค่ะ
20276,Cash balance ค่ะ,ขอบคุณค่ะ
20279,"You sent a photo.
รบกวนเพิ่มวงเงินให้ด้วยค่ะ","รบกวนขอเบอร์ติดต่อด้วยค่ะ
จะขอคำแนะนำ"
20280,"You sent a photo.
รบกวนเพิ่มวงเงินให้ด้วยค่ะ","รบกวนขอเบอร์ติดต่อด้วยค่ะ
จะขอคำแนะนำ"
20282,"รบกวนขอเบอร์ติดต่อด้วยค่ะ
จะขอคำแนะนำ",You sent a sticker.
20283,"รบกวนขอเบอร์ติดต่อด้วยค่ะ
จะขอคำแนะนำ",You sent a sticker.
20285,You sent a sticker.,You sent a sticker.
20286,You sent a sticker.,You sent a sticker.
20288,You sent a sticker.,โอนบัญชีไหนคะ
20290,โอนบัญชีไหนคะ,"ปรกติตัด กรุงศรี ค่ะ
SCB ก้ได้ค่ะ"
20292,"ปรกติตัด กรุงศรี ค่ะ
SCB ก้ได้ค่ะ",You sent a sticker.
20294,You sent a sticker.,เลขท้าบพอร์ต คืออะไรคะ
20296,เลขท้าบพอร์ต คืออะไรคะ,รอยอดนะคะ
20298,รอยอดนะคะ,"You sent a photo.
แจ้งโอนค่ะ"
20299,รอยอดนะคะ,"You sent a photo.
แจ้งโอนค่ะ"
20301,"You sent a photo.
แจ้งโอนค่ะ",สอบถามเรื่องเงินที่ค้างอยู่ในพอร์ต ก่อนการซื้อขาย เข้าเงื่อนไขการคุ้มครองเงินฝากมััยคะ หรือไม่เกี่ยวกัน หากบริษัทล้ม ทางลูกค้าจะได้รับเงินที่อยู่ในพอร์ตเต็มจำนวนหรือเปล่า?
20303,สอบถามเรื่องเงินที่ค้างอยู่ในพอร์ต ก่อนการซื้อขาย เข้าเงื่อนไขการคุ้มครองเงินฝากมััยคะ หรือไม่เกี่ยวกัน หากบริษัทล้ม ทางลูกค้าจะได้รับเงินที่อยู่ในพอร์ตเต็มจำนวนหรือเปล่า?,สอบถามอัตราดอกเบี้ยเงินที่ค้างอยู่ในพอร์ตด้วยนะคะ
20305,สอบถามอัตราดอกเบี้ยเงินที่ค้างอยู่ในพอร์ตด้วยนะคะ,"สอบถามค่ะ
โอนเงินระหว่างบัญชี ใช้เวลาเท่าไหร่เงินถึงจะเข้าอีกบัญชีคะ?"
20307,"สอบถามค่ะ
โอนเงินระหว่างบัญชี ใช้เวลาเท่าไหร่เงินถึงจะเข้าอีกบัญชีคะ?","รบกวนตรวจสอบให้หน่อยค่ะ 
โอนไปตอนเช้า ตอนนี้ยังไม่เข้าเลย"
20309,"รบกวนตรวจสอบให้หน่อยค่ะ 
โอนไปตอนเช้า ตอนนี้ยังไม่เข้าเลย","เจอแล้วค่ะ โอนผิดบัญชี
You sent a photo.
บัญชีนี้ใช้ทำอะไรคะ"
20311,"เจอแล้วค่ะ โอนผิดบัญชี
You sent a photo.
บัญชีนี้ใช้ทำอะไรคะ","เอาออกให้หน่อยได้มั้ยคะ
สับสน"
20313,"เอาออกให้หน่อยได้มั้ยคะ
สับสน","You sent a photo.
You sent a photo.
เปลี่ยนบัญชีที่ผูกตัดบัญชีค่ะ"
20314,"เอาออกให้หน่อยได้มั้ยคะ
สับสน","You sent a photo.
You sent a photo.
เปลี่ยนบัญชีที่ผูกตัดบัญชีค่ะ"
20316,"You sent a photo.
You sent a photo.
เปลี่ยนบัญชีที่ผูกตัดบัญชีค่ะ","ติดต่อเบอร์ 02-205-7122
ไม่ได้เลยค่ะ"
20319,You sent a photo.,You sent a photo.
20320,You sent a photo.,You sent a photo.
20322,You sent a photo.,หากจะโอนเงินจากในพอร์ตหุ้น มาบัญชี TFEX เวลานี้ได้มั้ยคะ
20323,You sent a photo.,หากจะโอนเงินจากในพอร์ตหุ้น มาบัญชี TFEX เวลานี้ได้มั้ยคะ
20325,หากจะโอนเงินจากในพอร์ตหุ้น มาบัญชี TFEX เวลานี้ได้มั้ยคะ,"รบกวนสอบถามค่าคอมเทรด ทองค่ะ 
พอดีคุยกับพี่ที่แนะนำมา เลยเจอว่าค่าธรรมเนียมไม่เท่ากัน รบกวนตรวจสอบให้ด้วยค่ะ
You sent a photo.
You sent a photo."
20327,"รบกวนสอบถามค่าคอมเทรด ทองค่ะ 
พอดีคุยกับพี่ที่แนะนำมา เลยเจอว่าค่าธรรมเนียมไม่เท่ากัน รบกวนตรวจสอบให้ด้วยค่ะ
You sent a photo.
You sent a photo.",You sent a sticker.
20328,"รบกวนสอบถามค่าคอมเทรด ทองค่ะ 
พอดีคุยกับพี่ที่แนะนำมา เลยเจอว่าค่าธรรมเนียมไม่เท่ากัน รบกวนตรวจสอบให้ด้วยค่ะ
You sent a photo.
You sent a photo.",You sent a sticker.
20330,You sent a sticker.,"You sent a photo.
ตั้งขายไม่ได้เลยค่ะ"
20332,"You sent a photo.
ตั้งขายไม่ได้เลยค่ะ",ปิดตรงไหนคะ
20334,ปิดตรงไหนคะ,"ได้แล้วค่ะ
You sent a sticker."
20336,"ได้แล้วค่ะ
You sent a sticker.",ค่ะ
20337,"ได้แล้วค่ะ
You sent a sticker.",ค่ะ
20340,"You sent a photo.
รบกวนอธิบายให้ด้วยค่ะ
แต่ละตัว หมายถึงอะไรคะ
You sent a sticker.",ขอบคุณมากค่ะ
20343,"You sent a photo.
รบกวนปลดล็อกให้ด้วยค่ะ",ใช่ค่ะ
20344,"You sent a photo.
รบกวนปลดล็อกให้ด้วยค่ะ",ใช่ค่ะ
20346,ใช่ค่ะ,ขอบคุณค่ะ
20347,ใช่ค่ะ,ขอบคุณค่ะ
20350,You sent a photo.,"You sent a photo.
เปิดทุกอันแล้วค่ะ"
20352,"You sent a photo.
เปิดทุกอันแล้วค่ะ","You sent a photo.
ยังค่ะ"
20354,"You sent a photo.
ยังค่ะ",ค่ะ
20356,ค่ะ,ค่ะ
20359,"รบกวนสอบถามค่ะ
วันอังคารพอร์ตตก call ช่วงดึก
แต่เปิดตลาดมาวันนี้ คาดว่าน่าจะไม่ต้องเติมเงิน
ในกรณีแบบนี้ การเติมเงินเข้า ต้องเติมให้ครบในทุกๆวันที่ตก call หรือเปล่าคะ
 ","หมายถึง 
หากเทรดทองช่วงค่ำ ถึงแม้จะตก call ก้จะไม่ต้องเติมเงินเข้าใข่มั้ยคะ"
20361,"หมายถึง 
หากเทรดทองช่วงค่ำ ถึงแม้จะตก call ก้จะไม่ต้องเติมเงินเข้าใข่มั้ยคะ","ขอบคุณมากค่ะ
You sent a sticker."
20364,"เข้าแอพไม่ได้ค่ะ
รบกวนReset Password ให้หน่อยค่ะ
อยู่ๆ face id ก้เข้าไม่ได้","You sent a photo.
ช่องนี้ใส่อะไรคะ"
20366,"You sent a photo.
ช่องนี้ใส่อะไรคะ",ค่ะ
20368,ค่ะ,ขอเรทค่าคอมของสินค้าด้วยค่ะ
20369,ค่ะ,ขอเรทค่าคอมของสินค้าด้วยค่ะ
20371,ขอเรทค่าคอมของสินค้าด้วยค่ะ,"รบกวนส่งเรทให้หน่อยค่ะ
พอดีอีกเจ้าให้ถูกกว่า"
20373,"รบกวนส่งเรทให้หน่อยค่ะ
พอดีอีกเจ้าให้ถูกกว่า",You sent a photo.
20375,You sent a photo.,ขอส่วนลดในส่วนของ currency ด้วยได้มั้ยคะ กำลังศึกษาข้อมูลในการเทรดค่ะ
